h  k  l  I  sigma(I)  peak  background  fs/px  ss/px  panel
-28 10 5 185.09 155.78 217.0 64.71 634.8 1057.6 q1a11 
-28 22 -1 13.96 89.69 105.0 52.84 417.2 970.2 q1a10 
-27 11 3 -68.26 113.63 144.0 68.86 631.7 1004.8 q1a11 
-27 21 -2 -8.75 129.56 115.0 55.34 454.3 932.2 q1a10 
-26 14 0 -99.39 91.82 109.0 64.99 593.7 939.2 q1a11 
-25 -1 9 -95.82 116.71 130.0 80.42 478.4 433.5 q1a4 
-25 7 3 172.21 127.0 165.0 71.59 730.5 952.0 q1a11 
-25 23 -5 13.8 97.62 128.0 67.8 453.7 863.7 q1a8 
-24 0 7 103.09 147.49 150.0 86.71 528.3 427.6 q1a4 
-24 10 0 77.9 108.24 170.0 76.9 692.3 916.5 q1a9 
-24 20 -5 74.96 154.7 151.0 70.84 523.9 844.4 q1a8 
-23 -9 14 389.8 126.92 133.0 82.8 484.1 573.0 q1a6 
-22 -10 14 223.94 149.82 183.0 95.06 513.4 601.3 q1a6 
-22 -8 12 60.64 120.07 146.0 95.76 533.0 564.6 q1a6 
-22 10 -2 -194.15 139.85 167.0 85.35 720.4 841.5 q1a9 
-21 -11 14 253.91 237.79 250.0 102.29 542.1 629.1 q1a6 
-21 1 3 168.8 142.95 153.0 99.8 648.2 445.8 q1a5 
-20 -8 10 -155.2 166.85 190.0 124.8 605.3 584.2 q1a7 
-20 0 3 243.69 157.18 203.0 109.31 674.8 474.8 q1a5 
-20 4 0 -141.77 173.7 186.0 113.97 707.3 408.7 q1a5 
-20 24 -10 -155.69 144.2 164.0 77.69 425.9 1223.2 q1a12 
-19 -1 3 130.41 417.97 390.0 144.79 700.9 503.3 q1a5 
-19 3 0 -343.15 495.31 476.0 152.35 733.1 437.8 q1a5 
-19 17 -8 -257.51 170.49 189.0 113.11 411.9 1325.9 q1a14 
-19 25 -11 116.0 111.48 147.0 71.0 466.3 1222.7 q1a12 
